Fonction;Expérience fonction;Niveau Etudes;Structure;Secteur Activité;Taille Société;Nbre dossiers gérés mensuellement;Paie internalisée ou externalisée;Nbre Bulletins Produits;Nbre Bulletins Supervisés;Nbre de CCN;Management;Volume de paies supervisées;Nbre de personnes supervisées;Quelle est votre expérience totale ?;Combien de jours de télétravail avez vous par semaine ?;Rémunération brute;Avez vous primes et avantages salariaux (hors légal) ?;Anglais dans votre quotidien pro ?;Dans quel département travaillez vous ?;Quel est votre sexe ?;Quelle est votre tranche d'âge ?;Poste;Localisation
Responsable Paie;+ 12 ans;Bac+3;Entreprise;Edition / Communication / Multimédia;51 à 250;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Oui;- de 500;2 à 5;+ de 21 ans;2;60000;Oui;Non;92;Femme;+ 56 ans;Responsable Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac;Entreprise;Santé - Etablissements Hospitaliers;2500 à 5000;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Non;NC;NC;15 à 20 ans;1;30000;Non;Non;75;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+3;Entreprise;Edition / Communication / Multimédia;51 à 250;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;501 à 1 500;1;1 à 3 ans;3;33000;Oui;Non;75;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;8 à 12 ans;Bac+2;Entreprise;HCR (Hotels, Cafés, Restaurants);251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;15 à 20 ans;3;59400;Oui;Non;75;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie;8 à 12 ans;Bac+3;Entreprise;Banque / Assurance / Mutuelle;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;8 à 12 ans;2;40000;Non;Non;77;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Industries;30 001;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;1 à 3 ans;3;30600;Oui;Non;44;Homme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+3;Entreprise;Médico Social;30 001;NC;Internalisée (tout est géré en interne);701;NC;1;Non;NC;NC;+ de 21 ans;2;38800;Oui;Non;91;Femme;+ 56 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac+3;Entreprise;Retail;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;1;42000;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;Bac+2;Entreprise;Transport / Logistique;251 à 1000;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;501 à 1 500;2 à 5;15 à 20 ans;2;72000;Oui;;93;Homme;46 à 55 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+5;Entreprise;Service public;1000 à 2500;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;1;35900;Oui;Non;93;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;5001 à 10 000;21 à 40;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;10;Non;NC;NC;4 à 7 ans;3;29489;Non;Oui, écrit;95;Homme;- 25 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+5;Entreprise;Enseignement privé;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;8 à 12 ans;1;43050;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;4 à 7 ans;Bac+3;Entreprise;Service public;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Oui;- de 500;2 à 5;8 à 12 ans;2;61000;Non;Non;93;Femme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie;- 1 an;Bac+3;Entreprise;HCR (Hotels, Cafés, Restaurants);51 à 250;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;0;46000;Non;Non;75;Femme;26 à 35 ans;Responsable Paie;IDF
Responsable Paie & SIRH;1 à 3 ans;Bac+5;Entreprise;Nettoyage industriel / Sécurité;30 001;NC;Internalisée (tout est géré en interne);701;NC;10;Non;NC;NC;+ de 21 ans;3;72000;Oui;Non;94;Femme;46 à 55 ans;Responsable Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;Edition / Communication / Multimédia;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;1 à 3 ans;3;37500;Oui;Oui, écrit;78;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie;4 à 7 ans;Bac+3;Entreprise;Retail;51 à 250;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;51 à 150;1;Non;NC;NC;8 à 12 ans;2;68000;Oui;Oui, écrit;75;Femme;26 à 35 ans;Responsable Paie;IDF
Responsable Paie;1 à 3 ans;Bac+2;Entreprise;Médico Social;10 001 à 30 000;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;501 à 1 500;2 à 5;8 à 12 ans;1;63000;Oui;Non;78;Homme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;BTP / Travaux / Construction;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;4 à 7 ans;2;38000;Oui;Non;91;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac+3;Entreprise;Transport / Logistique;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;2;43000;Oui;Non;94;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;HCR (Hotels, Cafés, Restaurants);251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Oui;- de 500;41;1 à 3 ans;1;30000;Oui;Non;8;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Entreprise;BTP / Travaux / Construction;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;4 à 6;Non;NC;NC;1 à 3 ans;3;28000;Oui;Non;95;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+3;Cabinet d'Expertise Comptable;NC;251 à 1000;61 à 90;Internalisée (tout est géré en interne);151 à 300;NC;6 à 10;Non;NC;NC;1 à 3 ans;3;33600;Oui;Oui, écrit et oral;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;1 à 3 ans;Bac+3;Entreprise;Audiovisuel;51 à 250;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;8 à 12 ans;2;49000;Non;Non;92;Femme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie;+ 12 ans;Bac+2;Entreprise;Associatif;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;1 501 à 3 000;2 à 5;+ de 21 ans;2;51000;Non;Non;75;Homme;+ 56 ans;Responsable Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;21 à 40;Internalisée (tout est géré en interne);501 à 700;NC;10;Non;NC;NC;4 à 7 ans;2;44000;Oui;Non;75;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+5;Cabinet d'Expertise Comptable;NC;51 à 250;41 à 60;Totalement externalisée (la production du BS est gérée par le prestataire);NC;501 à 700;4 à 6;Oui;501 à 1 500;2 à 5;8 à 12 ans;4;50000;Non;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac;Cabinet d'Expertise Comptable;NC;Moins de 50;91;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;1 à 3 ans;1;36000;Non;Non;77;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;4 à 7 ans;Bac+2;Entreprise;Agroalimentaire;51 à 250;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;51 à 150;1;Non;NC;NC;4 à 7 ans;4;34700;Oui;Oui, écrit;77;Femme;26 à 35 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;- 1 an;Bac+3;Entreprise;Commerce / Négoce / Distribution;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);51 à 150;NC;1;Non;NC;NC;- 1 an;0;35700;Non;;91;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+2;Entreprise;Ingénierie;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;3;49000;Oui;Non;93;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;+ 12 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);501 à 700;NC;6 à 10;Oui;- de 500;1;8 à 12 ans;3;45000;Non;Non;94;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;Bac+3;Entreprise;Automobile;251 à 1000;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;501 à 1 500;6 à 10;15 à 20 ans;2;67000;Oui;Oui, écrit et oral;92;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Etudes / Conseils;2500 à 5000;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Non;NC;NC;4 à 7 ans;2;38160;Oui;Non;92;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Service public;2500 à 5000;NC;Internalisée (tout est géré en interne);701;NC;1;Non;NC;NC;4 à 7 ans;2;35000;Non;Non;93;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;51 à 250;41 à 60;Internalisée (tout est géré en interne);151 à 300;NC;10;Non;NC;NC;4 à 7 ans;2;30000;Oui;Non;77;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;8 à 12 ans;Bac+2;Entreprise;Services aux entreprises;5001 à 10 000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Oui;- de 500;1;8 à 12 ans;2;36000;Oui;Non;91;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Associatif;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;- de 500;1;4 à 7 ans;2;40000;Oui;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+3;Entreprise;Industries;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;+ de 21 ans;2;52000;Oui;Non;94;Homme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;BTP / Travaux / Construction;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;4 à 7 ans;2;45000;Oui;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie;4 à 7 ans;Bac+3;Entreprise;Commerce / Négoce / Distribution;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Oui;- de 500;2 à 5;8 à 12 ans;2;60000;Non;Non;92;Femme;26 à 35 ans;Responsable Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);501 à 700;NC;10;Non;NC;NC;4 à 7 ans;1;42000;Non;Non;75;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac;Cabinet d'Expertise Comptable;NC;Moins de 50;91;Totalement externalisée (la production du BS est gérée par le prestataire);NC;701;10;Non;NC;NC;4 à 7 ans;4;36000;Non;Non;95;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;1 à 3 ans;Bac+5;Cabinet d'Expertise Comptable;NC;Moins de 50;21 à 40;Totalement externalisée (la production du BS est gérée par le prestataire);NC;301 à 500;10;Oui;- de 500;2 à 5;8 à 12 ans;2;50000;Oui;Oui, écrit;75;Femme;26 à 35 ans;Responsable Paie;IDF
Consultant(e) Paie;4 à 7 ans;Bac+2;Société d'externalisation de paies;NC;2500 à 5000;-10;Internalisée (tout est géré en interne);701;NC;4 à 6;Non;NC;NC;4 à 7 ans;5;120000;Non;Non;75;Femme;26 à 35 ans;Consultant Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;4 à 7 ans;0;43000;Oui;Non;94;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Transport / Logistique;5001 à 10 000;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;4 à 7 ans;2;39000;Oui;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;+ 12 ans;Bac+5;Entreprise;Agroalimentaire;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);501 à 700;NC;1;Oui;501 à 1 500;2 à 5;15 à 20 ans;3;70000;Oui;;27;Femme;46 à 55 ans;Responsable Paie;Hors IDF
Responsable Paie & SIRH;+ 12 ans;Bac+5;Entreprise;Santé - Etablissements Hospitaliers;251 à 1000;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;501 à 1 500;2 à 5;+ de 21 ans;5;49200;Oui;Non;33;Femme;46 à 55 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);151 à 300;NC;6 à 10;Non;NC;NC;1 à 3 ans;0;40000;Non;Non;94;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Consultant(e) Paie;1 à 3 ans;Bac+5;Société d'externalisation de paies;NC;1000 à 2500;-10;Internalisée (tout est géré en interne);701;NC;10;Non;NC;NC;8 à 12 ans;2;43000;Oui;Non;69;Femme;46 à 55 ans;Consultant Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Médico Social;30 001;NC;Internalisée (tout est géré en interne);701;NC;1;Non;NC;NC;4 à 7 ans;2;35160;Non;Non;95;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Consultant(e) Paie;4 à 7 ans;Bac+5;Société d'externalisation de paies;NC;51 à 250;61 à 90;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;10;Oui;5 001 à 10 000;6 à 10;8 à 12 ans;2;45000;Non;;35;Homme;26 à 35 ans;Consultant Paie;Hors IDF
Responsable Paie;4 à 7 ans;Bac+3;Entreprise;Banque / Assurance / Mutuelle;251 à 1000;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;501 à 1 500;2 à 5;15 à 20 ans;2;58000;Non;Non;93;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie;8 à 12 ans;;Entreprise;Service public;5001 à 10 000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;1;Oui;- de 500;6 à 10;8 à 12 ans;4;22000;Oui;Non;93;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Consultant(e) Paie;4 à 7 ans;Bac;Société d'externalisation de paies;NC;1000 à 2500;11 à 20;Totalement externalisée (la production du BS est gérée par le prestataire);NC;701;10;Non;NC;NC;4 à 7 ans;2;45500;Oui;Non;92;Femme;26 à 35 ans;Consultant Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Totalement externalisée (la production du BS est gérée par le prestataire);NC;701;6 à 10;Non;NC;NC;1 à 3 ans;1;34800;Oui;Non;13;Femme;- 25 ans;Gestionnaire Paie;Hors IDF
Responsable Paie & SIRH;+ 12 ans;Bac;Entreprise;Banque / Assurance / Mutuelle;51 à 250;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;51 à 150;1;Oui;- de 500;1;+ de 21 ans;5;69000;Non;Non;75;Femme;46 à 55 ans;Responsable Paie;IDF
Responsable Paie & SIRH;4 à 7 ans;Bac+2;Entreprise;Associatif;251 à 1000;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;501 à 1 500;2 à 5;4 à 7 ans;0;34000;Non;Non;62;Femme;26 à 35 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Entreprise;Services aux entreprises;51 à 250;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;2 à 3;Oui;5 001 à 10 000;2 à 5;4 à 7 ans;2;29400;Oui;Non;14;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+3;Entreprise;Santé - Etablissements Hospitaliers;1000 à 2500;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Oui;- de 500;1;15 à 20 ans;2;41000;Oui;Non;92;Femme;36 à 45 ans;Responsable Adjoint Paie;IDF
Responsable Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;251 à 1000;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Oui;- de 500;1;15 à 20 ans;2;60000;Non;Oui, écrit;78;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+3;Entreprise;Associatif;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Oui;- de 500;2 à 5;4 à 7 ans;2;36000;Oui;Oui, écrit;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;4 à 7 ans;Bac+2;Société d'externalisation de paies;NC;2500 à 5000;-10;Internalisée (tout est géré en interne);701;NC;6 à 10;Oui;25 001;2 à 5;8 à 12 ans;4;65000;Oui;Oui, écrit;75;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+2;Entreprise;Etudes / Conseils;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Non;NC;NC;8 à 12 ans;4;42500;Oui;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+3;Entreprise;Informatique / Télécoms;251 à 1000;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Oui;- de 500;1;4 à 7 ans;3;47000;Non;Non;75;Femme;26 à 35 ans;Responsable Adjoint Paie;IDF
Responsable Paie;1 à 3 ans;Bac+2;Entreprise;Banque / Assurance / Mutuelle;51 à 250;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;3;55000;Oui;Non;75;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Industries;251 à 1000;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;701;1;Non;NC;NC;+ de 21 ans;3;45000;Oui;Oui, écrit et oral;92;Femme;+ 56 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;Bac+2;Entreprise;Industries;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Oui;501 à 1 500;2 à 5;+ de 21 ans;0;48000;Oui;Non;68;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+2;Entreprise;Transport / Logistique;30 001;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;501 à 700;1;Non;NC;NC;+ de 21 ans;1;43180;Oui;Non;92;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Industries;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;1;35400;Oui;Non;69;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie Adjoint(e);8 à 12 ans;Bac+3;Entreprise;Agroalimentaire;1000 à 2500;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Oui;1 501 à 3 000;2 à 5;8 à 12 ans;2;44000;Oui;;34;Femme;46 à 55 ans;Responsable Adjoint Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);151 à 300;NC;10;Non;NC;NC;4 à 7 ans;0;33000;Oui;Non;17;Homme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;4 à 7 ans;Bac+3;Entreprise;Associatif;1000 à 2500;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Oui;501 à 1 500;2 à 5;8 à 12 ans;1;48000;Oui;Non;92;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+3;Entreprise;Etudes / Conseils;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;3;44000;Oui;Oui, écrit et oral;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Banque / Assurance / Mutuelle;30 001;NC;Internalisée (tout est géré en interne);0;NC;1;Oui;- de 500;2 à 5;4 à 7 ans;3;38000;Oui;Non;94;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;251 à 1000;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;8 à 12 ans;1;37700;Non;Non;95;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;Bac+2;Entreprise;Industries;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;4 à 6;Oui;1 501 à 3 000;2 à 5;15 à 20 ans;3;60000;Oui;Oui, écrit et oral;27;Homme;46 à 55 ans;Responsable Paie;Hors IDF
Consultant(e) Paie;4 à 7 ans;Bac+3;Entreprise;Services aux entreprises;10 001 à 30 000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);501 à 700;NC;4 à 6;Non;NC;NC;15 à 20 ans;4;68000;Oui;Non;92;Femme;36 à 45 ans;Consultant Paie;IDF
Responsable Paie & SIRH;+ 12 ans;Bac+3;Entreprise;Banque / Assurance / Mutuelle;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;2 à 3;Non;NC;NC;+ de 21 ans;2;70000;Non;Non;75;Femme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie;8 à 12 ans;Bac+2;Entreprise;Commerce / Négoce / Distribution;5001 à 10 000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;1;Oui;5 001 à 10 000;11 à 20;+ de 21 ans;3;60000;Oui;Non;95;Femme;46 à 55 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Leasing;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;4 à 7 ans;2;44000;Oui;Non;92;Homme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+2;Entreprise;Banque / Assurance / Mutuelle;10 001 à 30 000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Non;NC;NC;+ de 21 ans;3;47000;Oui;Non;92;Femme;+ 56 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+5;Entreprise;Automobile;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);501 à 700;NC;1;Non;NC;NC;4 à 7 ans;2;41000;Oui;;95;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);151 à 300;NC;10;Non;NC;NC;4 à 7 ans;2;41000;Oui;Non;78;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+5;Entreprise;Informatique / Télécoms;2500 à 5000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;1;Non;NC;NC;4 à 7 ans;3;44000;Oui;Non;92;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie Adjoint(e);1 à 3 ans;Bac+3;Entreprise;Banque / Assurance / Mutuelle;251 à 1000;NC;Internalisée (tout est géré en interne);701;NC;1;Non;NC;NC;8 à 12 ans;2;52000;Oui;Oui, écrit et oral;91;Femme;46 à 55 ans;Responsable Adjoint Paie;IDF
Gestionnaire Paie & ADP;- 1 an;Bac+2;Cabinet d'Expertise Comptable;NC;251 à 1000;41 à 60;Totalement externalisée (la production du BS est gérée par le prestataire);NC;51 à 150;6 à 10;Non;NC;NC;- 1 an;2;30000;Non;Non;78;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+5;Entreprise;presse;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;1 à 3 ans;2;39700;Non;Non;75;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac+5;Entreprise;Industries;51 à 250;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;+ de 21 ans;0;41000;Non;Oui, écrit et oral;77;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+3;Entreprise;Retraite;51 à 250;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;1;Oui;- de 500;1;8 à 12 ans;2;50000;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;4 à 7 ans;Bac+3;Entreprise;Associatif;51 à 250;NC;Internalisée (tout est géré en interne);151 à 300;NC;4 à 6;Non;NC;NC;+ de 21 ans;0;36000;Non;Non;59;Femme;46 à 55 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Edition / Communication / Multimédia;251 à 1000;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;2 à 3;Non;NC;NC;4 à 7 ans;3;38250;Non;Oui, écrit;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;Bac+3;Entreprise;Informatique / Télécoms;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Oui;501 à 1 500;2 à 5;15 à 20 ans;2;65000;Oui;Non;95;Femme;46 à 55 ans;Responsable Paie;IDF
